NO OF CNTRS,Container Type,Port of Destination,Dispatch Qty,TRANSIT TIME AS PER  RFQ,SELECTION OF SH.LINE,Stuffing remarks,Act POL,Shipping line,Dev Cost,Country,Sector
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Jebel Ali,23,7,L5,STUFFED,ADANI,BALAJI,137,UAE,REDSEA ME ISC
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Ashdod,23,20,L5,STUFFED,NHAVASHEVA,MAERSK,583,ISRAEL,EUROPE
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
1,20DV,Beira,23,29,L2,STUFFED,NHAVASHEVA,MAERSK,125,MOZAMBIQUE,AFRICA
